#Date		All	Fix	All-minus-Fix
2011-10-06	2253	747	1506	9748ba1a4477dc264063e825bcf9204f3cb95c9f
2011-10-11	2257	748	1509	83a6f78a65e5c336beaba3d616f764f296ba9fa0
2011-10-20	2267	752	1515	b35aeb153dcfd86c34484b4e2c7599377bcbe1fa
2011-10-25	2267	752	1515	30f40670815fb7710d3c74c76835476c179cc317
2011-10-25	2267	752	1515	2b5259b8bfc80261bde6b86229c949ddc085028f
2011-10-31	2274	754	1520	bb90a872d9e7be078da590ea66885965bb3c6cc8
2011-11-03	2287	762	1525	7ec283f660b7d8c94efcd12a2de7122239a115fe
2011-11-07	2295	767	1528	f67b895b0dfbe9fdd6baa3ec5848840e4d6cfc87
2011-11-20	2295	767	1528	ea52d6885390af6012cd3fd6c81f2b71bc1712f6
2011-12-01	2295	767	1528	5bb3d636e6d1d72a7f4cf1a48c05d3a8c9026f75
2011-12-06	2295	767	1528	5fc27b18701c4bd7c0f0e6e9cfab96f27525b407
2011-12-16	2308	774	1534	e2ba338c2be7ef63292a818d7dfa41f80cb66ed7
2011-12-21	2322	776	1546	f8536c13a482794a66faf43a7fbdf5aa29cd0307
2011-12-23	2327	776	1551	6de3d34268261ef8945d6cb757a8301cbdb0c65d
2011-12-27	2331	776	1555	8c2a92805414a47028b57b55107382219887a287
2012-01-01	2335	777	1558	3a8168370994195ed05841a3f6ee18a3fa6f185a
2012-01-04	2342	780	1562	1631e6937f27765e151a98a15a9ea035435e568f
2012-01-05	2342	780	1562	15a83929b1d1a18ce84fc9f1f22f7be4a7fff523
2012-01-09	2351	785	1566	2ad46452bfd6e0648d339d6f266f11d5fc47ae5d
2012-01-12	2362	787	1575	30595881ef9c281fb5d0db92623e01332ac294af
2012-01-18	2370	792	1578	5a22250d577ba15faf39a99e96ea2c39dc6fcdc3
2012-01-24	2389	802	1587	df2f3338994c1c52b0b584e95ea6731675bdc258
2012-01-30	2396	805	1591	cd58cf96f6a1f8c627627c10b47681770d2bc93f
2012-02-10	2408	810	1598	ada3cb92fd760d018eb2f196d614e170c6cd0ce3
